id_hh,id_ind,ind_read,ind_write,ind_literacy,ind_any_schooling,ind_school,ind_education,ind_education_years
1021001107,102100110701,1,1,1,1,2,4,NA
1021001107,102100110702,1,1,1,1,2,2,NA
1021001107,102100110703,1,1,1,1,2,3,NA
1021001107,102100110704,1,1,1,1,2,2,NA
1021001107,102100110705,1,1,1,1,2,3,NA
1021001107,102100110706,1,1,1,1,2,3,NA
1021001107,102100110707,1,1,1,1,2,2,NA
1021001107,102100110708,1,1,1,1,1,NA,7
1021001107,102100110709,2,2,2,1,1,NA,0
1021001109,102100110901,1,1,1,1,1,NA,NA
102100110901,10210011090102,1,1,1,1,2,3,NA
102100110901,10210011090105,1,1,1,1,1,NA,3
102100110901,10210011090106,2,2,2,1,2,1,NA
102100110901,10210011090107,2,2,2,1,2,2,NA
102100110901,10210011090108,2,2,2,1,2,1,NA
1021001109,102100110902,1,1,1,1,2,4,NA
1021001109,102100110903,1,1,1,1,1,NA,13
102100110903,10210011090301,1,1,1,1,2,3,NA
1021001109,102100110904,1,1,1,1,1,NA,11
102100110904,10210011090402,1,1,1,1,2,2,NA
1021001109,102100110905,1,1,1,1,1,NA,7
1021001109,102100110906,1,1,1,1,1,NA,5
1021001109,102100110907,1,1,1,1,1,NA,2
1021001109,102100110908,2,2,2,1,1,NA,1
1021001109,102100110909,1,1,1,1,2,4,NA
1021001109,102100110910,1,1,1,1,1,NA,5
1021001109,102100110911,2,2,2,2,2,NA,NA
1021001109,102100110912,1,2,2,1,2,1,NA
1021001110,102100111001,1,1,1,1,2,1,NA
1021001202,102100120201,1,1,1,1,2,1,NA
1021001202,102100120202,1,1,1,1,1,NA,12
1021001202,102100120203,1,1,1,1,1,NA,15
1021001205,102100120501,1,2,2,1,2,1,NA
1021001205,102100120502,1,1,1,1,2,1,NA
1021001205,102100120503,1,1,1,1,1,NA,4
1021001205,102100120504,2,2,2,1,1,NA,2
1021001205,102100120505,2,2,2,2,2,NA,NA
1021001205,102100120506,2,2,2,2,2,NA,NA
1021001205,102100120507,2,2,2,2,2,NA,NA
1021001205,102100120508,1,1,1,1,2,2,NA
1021001205,102100120509,1,1,1,1,2,2,NA
1021001205,102100120511,1,1,1,1,1,NA,5
1021001205,102100120512,2,2,2,1,1,NA,1
1021001206,102100120601,1,1,1,1,2,3,NA
1021001206,102100120602,1,1,1,1,1,NA,4
1021001206,102100120603,1,1,1,1,1,NA,1
1021001208,102100120801,1,1,1,1,2,3,NA
1021001208,102100120802,1,1,1,1,2,2,NA
1021001208,102100120803,2,2,2,1,2,1,NA
1021001208,102100120804,2,2,2,2,2,NA,NA
1021001208,102100120805,2,2,2,2,2,NA,NA
1021001210,102100121001,1,1,1,1,2,3,NA
1021001210,102100121002,1,1,1,1,2,1,NA
1021001210,102100121003,1,1,1,1,1,NA,5
1021001210,102100121005,1,1,1,1,1,NA,5
1021001211,102100121101,1,1,1,1,2,2,NA
1021001211,102100121102,1,1,1,1,2,3,NA
1021001301,102100130101,1,1,1,1,2,4,NA
1021001301,102100130102,1,1,1,1,1,NA,15
1021001301,102100130103,1,1,1,1,2,1,NA
1021001301,102100130104,1,1,1,1,2,1,NA
1021001302,102100130201,1,1,1,1,2,3,NA
1021001302,102100130202,1,1,1,1,2,2,NA
1021001302,102100130203,1,1,1,1,2,3,NA
1021001302,102100130204,1,1,1,1,2,3,NA
1021001302,102100130205,1,1,1,1,2,1,NA
1021001304,102100130401,1,1,1,1,2,4,NA
1021001304,102100130402,1,1,1,1,2,2,NA
1021001304,102100130403,1,1,1,1,1,NA,9
1021001304,102100130404,1,1,1,1,1,NA,5
1021001304,102100130405,1,1,1,1,1,NA,4
1021001304,102100130406,1,1,1,1,1,NA,3
1021001305,102100130501,1,1,1,1,2,2,NA
1021001305,102100130502,1,1,1,1,2,2,NA
1021001305,102100130503,1,1,1,1,2,3,NA
1021001306,102100130601,1,1,1,1,2,4,NA
1021001306,102100130602,1,1,1,1,1,NA,12
1021001306,102100130603,1,1,1,1,1,NA,12
1021001306,102100130604,1,1,1,1,1,NA,9
1021001306,102100130605,1,1,1,1,1,NA,1
1021001307,102100130701,1,1,1,1,2,2,NA
1021001307,102100130702,1,1,1,1,1,NA,NA
1021001307,102100130703,1,1,1,1,1,NA,13
1021001307,102100130704,1,1,1,1,1,NA,10
1021001307,102100130705,1,1,1,1,1,NA,9
1021001307,102100130706,NA,NA,NA,NA,NA,NA,NA
1021001308,102100130801,1,1,1,1,2,1,NA
1021001308,102100130802,1,1,1,1,2,1,NA
1021001309,102100130901,1,1,1,1,2,1,NA
1021001311,102100131101,1,1,1,1,2,2,NA
1021001311,102100131102,1,1,1,1,2,1,NA
1021001311,102100131103,1,2,2,2,2,NA,NA
1021001402,102100140201,1,1,1,2,2,NA,NA
1021001402,102100140202,2,2,2,1,2,2,NA
102100140202,10210014020201,1,1,1,1,2,2,NA
1021001402,102100140203,2,2,2,1,1,NA,8
1021001402,102100140204,2,2,2,1,1,NA,10
102100140204,10210014020401,1,1,1,1,2,3,NA
102100140204,10210014020404,2,2,2,2,2,NA,NA
1021001403,102100140301,1,1,1,1,2,1,NA
1021001403,102100140302,1,1,1,1,2,2,NA
1021001405,102100140501,1,1,1,1,2,1,NA
1021001405,102100140502,1,1,1,1,2,3,NA
1021001405,102100140503,1,1,1,1,1,NA,2
1021001405,102100140504,1,1,1,1,1,NA,2
1021001405,102100140505,1,1,1,1,1,NA,1
1021001406,102100140601,1,1,1,1,2,1,NA
1021001406,102100140602,1,1,1,1,2,1,NA
1021001406,102100140603,2,2,2,2,2,NA,NA
1021001407,102100140701,1,1,1,1,2,3,NA
1021001407,102100140702,1,1,1,1,2,1,NA
1021001407,102100140703,1,1,1,1,1,NA,3
1021001407,102100140704,1,1,1,1,1,NA,4
1021001407,102100140705,1,1,1,1,1,NA,1
1021001408,102100140801,1,2,2,1,2,NA,NA
1021001408,102100140802,1,1,1,1,2,1,NA
1021001408,102100140803,1,1,1,1,1,NA,3
1021001408,102100140804,2,2,2,1,1,NA,2
1021001408,102100140805,1,1,1,1,1,NA,4
1021001501,102100150101,1,1,1,1,2,2,NA
1021001501,102100150102,1,1,1,1,2,1,NA
1021001501,102100150103,1,1,1,1,2,1,NA
1021001504,102100150401,1,1,1,1,2,5,NA
1021001504,102100150402,1,1,1,1,2,3,NA
1021001504,102100150403,1,1,1,1,2,5,NA
1021001504,102100150404,1,1,1,1,2,3,NA
1021001504,102100150405,1,1,1,1,1,NA,12
1021001504,102100150406,1,1,1,1,1,NA,4
1021001504,102100150407,1,1,1,1,1,NA,5
1021001505,102100150501,1,1,1,1,2,4,NA
1021001505,102100150502,1,1,1,1,2,4,NA
1021001505,102100150503,2,2,2,1,2,1,NA
1021001505,102100150504,1,1,1,1,2,1,NA
1021001507,102100150701,1,1,1,1,2,1,NA
1021001507,102100150702,1,1,1,1,2,2,NA
1021001507,102100150703,1,1,1,1,2,3,NA
1021001507,102100150704,1,1,1,1,1,NA,4
1021001507,102100150705,1,1,1,1,1,NA,2
1021001507,102100150706,1,1,1,1,1,NA,0
1021001512,102100151201,1,1,1,1,2,1,NA
1021001512,102100151202,1,1,1,1,2,1,NA
1021001512,102100151203,1,1,1,1,2,1,NA
1021001512,102100151204,1,1,1,1,2,1,NA
1021001606,102100160601,1,1,1,1,2,4,NA
1021001606,102100160602,1,1,1,1,1,NA,NA
1021001606,102100160603,1,1,1,1,1,NA,3
1021001606,102100160604,1,1,1,1,1,NA,1
1021001607,102100160701,1,1,1,1,2,4,NA
1021001607,102100160702,1,1,1,1,2,4,NA
1021001607,102100160703,1,1,1,1,2,4,NA
1021001607,102100160704,1,1,1,1,2,4,NA
1021001607,102100160705,1,1,1,1,2,5,NA
1021001607,102100160706,1,1,1,1,2,5,NA
1021001607,102100160707,1,1,1,1,2,5,NA
102100160707,10210016070701,1,1,1,1,2,4,NA
1021001609,102100160901,1,1,1,1,2,5,NA
1021001609,102100160902,1,1,1,2,2,NA,NA
1021001609,102100160903,1,1,1,1,1,NA,13
1021001609,102100160904,1,1,1,1,2,1,NA
1021001609,102100160905,1,1,1,1,1,NA,12
1021001609,102100160906,1,1,1,1,1,NA,10
1021001609,102100160907,1,1,1,1,1,NA,9
1021001609,102100160910,1,1,1,1,2,2,NA
1021001610,102100161001,1,1,1,1,2,5,NA
1021001610,102100161002,1,1,1,1,2,5,NA
1021001610,102100161003,1,1,1,1,1,NA,3
1021001610,102100161004,1,1,1,1,1,NA,2
1021001701,102100170101,1,1,1,1,2,2,NA
1021001701,102100170102,2,1,2,1,2,2,NA
1021001701,102100170103,1,1,1,1,1,NA,NA
1021001701,102100170104,1,1,1,1,1,NA,6
1021001701,102100170105,2,1,2,1,1,NA,1
1021001704,102100170401,1,1,1,1,2,1,NA
1021001704,102100170402,1,1,1,1,1,NA,8
1021001704,102100170403,1,1,1,1,1,NA,7
1021001704,102100170404,2,1,2,1,1,NA,0
1021001705,102100170501,1,1,1,1,2,1,NA
1021001705,102100170502,1,1,1,1,2,1,NA
1021001705,102100170503,1,1,1,1,1,NA,6
1021001705,102100170505,1,2,2,1,1,NA,0
1021001705,102100170507,2,2,2,2,2,NA,NA
1021001706,102100170601,1,1,1,1,2,4,NA
1021001706,102100170602,1,1,1,1,2,4,NA
1021001706,102100170603,1,1,1,1,1,NA,3
1021001706,102100170604,2,2,2,1,1,NA,0
1021001709,102100170901,1,1,1,1,2,1,NA
1021001709,102100170902,1,1,1,1,1,NA,8
1021001709,102100170903,1,1,1,1,1,NA,6
1021001709,102100170904,1,1,1,1,1,NA,3
1021001709,102100170906,1,1,1,1,2,3,NA
1021001709,102100170907,2,2,2,1,1,NA,2
1021001709,102100170909,1,1,1,1,2,1,NA
1021001709,102100170910,2,2,2,2,2,NA,NA
1021001709,102100170911,2,2,2,2,2,NA,NA
1021001710,102100171001,1,1,1,1,2,1,NA
1021001710,102100171002,1,2,2,1,2,1,NA
1021001710,102100171003,1,1,1,1,1,NA,9
102100171003,10210017100302,1,1,1,1,2,2,NA
102100171003,10210017100303,1,1,1,1,1,NA,NA
102100171003,10210017100304,1,1,1,1,1,NA,6
102100171003,10210017100305,1,1,1,1,1,NA,2
1021001710,102100171004,1,1,1,1,1,NA,NA
1021001710,102100171005,1,1,1,1,2,1,NA
1021001710,102100171006,2,2,2,2,2,NA,NA
1021001710,102100171007,2,2,2,2,2,NA,NA
1021001711,102100171101,1,1,1,1,2,5,NA
1021001711,102100171102,1,1,1,1,1,NA,NA
1021001711,102100171103,1,1,1,1,1,NA,NA
1021001711,102100171104,1,1,1,1,2,3,NA
1021001713,102100171301,1,1,1,1,2,1,NA
1021001713,102100171302,2,1,2,1,2,1,NA
1021001713,102100171303,1,1,1,1,2,2,NA
1021001713,102100171304,1,1,1,1,1,NA,6
1021001713,102100171305,1,1,1,1,1,NA,3
1021001713,102100171306,2,2,2,1,2,1,NA
1021001713,102100171307,2,2,2,1,1,NA,9
1021001802,102100180201,2,2,2,1,2,1,NA
1021001802,102100180202,2,2,2,2,2,NA,NA
1021001804,102100180401,1,1,1,1,2,5,NA
1021001804,102100180402,1,1,1,1,2,4,NA
1021001804,102100180403,1,1,1,1,1,NA,1
1021001804,102100180404,1,1,1,1,1,NA,NA
1021001804,102100180406,2,2,2,1,2,1,NA
1021001804,102100180407,1,1,1,1,2,5,NA
1021001804,102100180408,1,1,1,1,2,3,NA
1021001809,102100180901,1,1,1,1,2,2,NA
1021001809,102100180902,1,1,1,1,1,NA,10
1021001809,102100180903,2,2,2,1,1,NA,1
1021001810,102100181001,1,1,1,1,2,5,NA
1021001810,102100181002,1,1,1,1,1,NA,13
1021001810,102100181005,2,2,2,1,2,1,NA
1021001901,102100190101,1,1,1,1,2,4,NA
1021001901,102100190103,1,1,1,1,1,NA,12
1021001901,102100190104,1,1,1,1,2,2,NA
1021001901,102100190105,1,1,1,1,1,NA,2
1021001902,102100190201,1,1,1,1,2,3,NA
1021001902,102100190202,1,1,1,1,2,3,NA
1021001902,102100190203,2,2,2,1,1,NA,1
1021001907,102100190701,1,1,1,1,2,2,NA
1021001907,102100190702,2,2,2,2,2,NA,NA
1021001907,102100190703,1,1,1,1,1,NA,9
1021001907,102100190704,1,1,1,1,1,NA,3
1021001907,102100190705,2,2,2,1,1,NA,1
1021001907,102100190707,1,1,1,1,1,NA,2
1021001908,102100190801,1,1,1,1,2,1,NA
1021001908,102100190802,2,2,2,1,1,NA,2
1021001908,102100190803,2,2,2,1,1,NA,0
1021001908,102100190805,1,1,1,1,1,NA,5
1021001908,102100190806,1,1,1,1,1,NA,6
1021001909,102100190901,1,1,1,1,2,3,NA
1021001910,102100191001,1,1,1,1,2,2,NA
1021001910,102100191002,1,1,1,1,2,4,NA
1021001910,102100191003,1,1,1,1,2,2,NA
1021001910,102100191004,1,1,1,1,2,2,NA
1021001910,102100191005,1,1,1,1,2,4,NA
1021001910,102100191006,1,1,1,1,1,NA,10
1021001910,102100191007,1,1,1,1,1,NA,NA
1021001910,102100191008,2,2,2,2,2,NA,NA
1021001915,102100191501,1,1,1,1,2,1,NA
1021002003,102100200301,1,1,1,1,2,4,NA
1021002003,102100200302,1,1,1,1,2,2,NA
1021002003,102100200303,1,1,1,1,1,NA,NA
1021002003,102100200304,1,1,1,1,1,NA,9
1021002003,102100200305,1,1,1,1,1,NA,9
1021002003,102100200306,1,1,1,1,1,NA,13
1021002003,102100200307,1,1,1,1,1,NA,15
1021002003,102100200308,1,1,1,1,2,1,NA
1021002003,102100200309,1,1,1,1,2,5,NA
1021002007,102100200701,1,1,1,1,2,2,NA
1021002007,102100200702,2,2,2,1,2,1,NA
1021002008,102100200801,1,2,2,2,2,NA,NA
1021002008,102100200802,1,1,1,1,1,NA,0
1021002010,102100201001,1,1,1,1,2,2,NA
1021002010,102100201002,1,1,1,1,2,1,NA
1021002010,102100201003,1,1,1,1,2,2,NA
1021002010,102100201004,1,1,1,1,1,NA,9
1021002011,102100201101,1,1,1,1,2,3,NA
1021002011,102100201102,2,2,2,1,2,1,NA
1021002011,102100201103,1,1,1,1,1,NA,4
1021002011,102100201104,1,1,1,1,1,NA,3
1021002011,102100201105,2,2,2,1,1,NA,0
1021002011,102100201106,2,2,2,2,2,NA,NA
1021002011,102100201111,1,1,1,1,1,NA,9
1021002011,102100201112,2,2,2,1,1,NA,0
