id_hh,wgt09,comm,urban,regurb,id_ind,ind_sex,ind_position,ind_age,ind_marital_status,n_ind_household,n_child_15,n_child_5,ind_read,ind_write,ind_literacy,ind_any_schooling,ind_education,ind_education_years
1021000604,1158.984375,1020006,1,1,102100060401,1,1,43,1,8,4,1,1,1,1,1,3,NA
1021000604,1158.984375,1020006,1,1,102100060402,0,3,43,1,8,4,1,1,1,1,1,2,NA
1021000604,1158.984375,1020006,1,1,102100060403,1,3,19,3,8,4,1,1,1,1,1,NA,8
1021000604,1158.984375,1020006,1,1,102100060404,0,3,15,3,8,4,1,1,1,1,1,NA,8
1021000604,1158.984375,1020006,1,1,102100060405,1,3,13,3,8,4,1,1,1,1,1,NA,4
1021000604,1158.984375,1020006,1,1,102100060406,0,3,10,3,8,4,1,1,1,1,1,NA,3
1021000604,1158.984375,1020006,1,1,102100060407,1,3,6,NA,8,4,1,1,1,1,1,NA,1
1021000604,1158.984375,1020006,1,1,102100060408,1,3,3,NA,8,4,1,NA,NA,NA,NA,NA,NA
1021000607,1265.03454589844,1020006,1,1,102100060701,0,1,48,1,11,1,0,1,1,1,1,2,NA
1021000607,1265.03454589844,1020006,1,1,102100060702,1,3,25,3,11,1,0,1,1,1,1,NA,15
1021000607,1265.03454589844,1020006,1,1,102100060703,0,3,27,3,11,1,0,1,1,1,1,5,NA
1021000607,1265.03454589844,1020006,1,1,102100060704,1,3,23,3,11,1,0,1,1,1,1,NA,15
1021000607,1265.03454589844,1020006,1,1,102100060705,0,5,28,3,11,1,0,1,1,1,1,NA,NA
1021000607,1265.03454589844,1020006,1,1,102100060706,0,5,21,3,11,1,0,1,1,1,1,NA,13
1021000607,1265.03454589844,1020006,1,1,102100060707,0,3,21,3,11,1,0,1,1,1,1,NA,13
1021000607,1265.03454589844,1020006,1,1,102100060708,0,5,27,3,11,1,0,1,1,1,1,NA,13
1021000607,1265.03454589844,1020006,1,1,102100060709,1,5,21,3,11,1,0,1,1,1,1,NA,13
1021000607,1265.03454589844,1020006,1,1,102100060710,1,4,12,3,11,1,0,1,1,1,1,NA,5
1021000607,1265.03454589844,1020006,1,1,102100060711,0,5,21,3,11,1,0,NA,NA,NA,NA,NA,NA
1021000610,667.624572753906,1020006,1,1,102100061001,1,1,49,1,8,1,0,1,1,1,1,2,NA
1021000610,667.624572753906,1020006,1,1,102100061002,0,2,45,1,8,1,0,1,1,1,1,1,NA
1021000610,667.624572753906,1020006,1,1,102100061003,0,3,21,3,8,1,0,1,1,1,1,NA,12
1021000610,667.624572753906,1020006,1,1,102100061004,0,3,19,3,8,1,0,1,1,1,1,NA,9
1021000610,667.624572753906,1020006,1,1,102100061005,0,3,15,3,8,1,0,1,1,1,1,NA,6
1021000610,667.624572753906,1020006,1,1,102100061006,1,3,15,3,8,1,0,1,1,1,1,NA,7
1021000610,667.624572753906,1020006,1,1,102100061007,0,4,9,NA,8,1,0,1,1,1,1,NA,3
1021000610,667.624572753906,1020006,1,1,102100061008,0,4,NA,NA,8,1,0,NA,NA,NA,NA,NA,NA
1021000612,825.183349609375,1020006,1,1,102100061201,1,1,58,1,8,0,0,1,1,1,1,2,NA
1021000612,825.183349609375,1020006,1,1,102100061202,0,2,42,1,8,0,0,1,1,1,1,2,NA
1021000612,825.183349609375,1020006,1,1,102100061203,0,3,26,3,8,0,0,1,1,1,1,5,NA
1021000612,825.183349609375,1020006,1,1,102100061204,0,3,24,3,8,0,0,1,1,1,1,NA,15
1021000612,825.183349609375,1020006,1,1,102100061205,0,3,21,3,8,0,0,1,1,1,1,NA,13
1021000612,825.183349609375,1020006,1,1,102100061206,1,3,18,3,8,0,0,1,1,1,1,NA,12
1021000612,825.183349609375,1020006,1,1,102100061207,0,5,21,3,8,0,0,1,1,1,1,NA,12
1021000612,825.183349609375,1020006,1,1,102100061208,0,5,21,3,8,0,0,1,1,1,1,NA,12
1021000701,920.441162109375,1020007,1,1,102100070101,1,1,30,1,6,2,1,1,1,1,1,NA,15
1021000701,920.441162109375,1020007,1,1,102100070102,0,2,27,1,6,2,1,1,1,1,1,5,NA
1021000701,920.441162109375,1020007,1,1,102100070103,1,3,1,NA,6,2,1,NA,NA,NA,NA,NA,NA
1021000701,920.441162109375,1020007,1,1,102100070104,0,5,46,2,6,2,1,2,2,2,2,NA,NA
1021000701,920.441162109375,1020007,1,1,102100070105,0,5,14,3,6,2,1,2,2,2,1,1,NA
1021000701,920.441162109375,1020007,1,1,102100070106,1,5,NA,NA,6,2,1,NA,NA,NA,NA,NA,NA
1021000702,807.049865722656,1020007,1,1,102100070201,1,1,52,1,5,1,0,1,1,1,1,1,NA
1021000702,807.049865722656,1020007,1,1,102100070202,0,2,40,1,5,1,0,2,2,2,1,1,NA
1021000702,807.049865722656,1020007,1,1,102100070203,1,3,7,NA,5,1,0,2,2,2,1,NA,1
1021000702,807.049865722656,1020007,1,1,102100070204,0,3,NA,NA,5,1,0,NA,NA,NA,NA,NA,NA
1021000702,807.049865722656,1020007,1,1,102100070205,0,4,NA,NA,5,1,0,NA,NA,NA,NA,NA,NA
1021000703,3880.43701171875,NA,1,1,102100070301,0,1,47,2,4,0,0,1,1,1,1,3,NA
1021000703,3880.43701171875,NA,1,1,102100070302,0,3,21,3,4,0,0,1,1,1,1,NA,NA
1021000703,3880.43701171875,NA,1,1,102100070303,1,3,19,3,4,0,0,1,1,1,1,NA,12
1021000703,3880.43701171875,NA,1,1,102100070304,0,3,NA,NA,4,0,0,NA,NA,NA,NA,NA,NA
1021000705,1411.06799316406,1020007,1,1,102100070501,1,1,26,1,2,0,0,1,1,1,1,2,NA
1021000705,1411.06799316406,1020007,1,1,102100070502,0,2,18,1,2,0,0,1,1,1,1,1,NA
1021000710,1411.06799316406,1020007,1,1,102100071001,0,1,53,1,13,2,0,1,1,1,1,4,NA
1021000710,1411.06799316406,1020007,1,1,102100071002,1,3,30,3,13,2,0,1,1,1,1,5,NA
1021000710,1411.06799316406,1020007,1,1,102100071003,1,5,29,3,13,2,0,1,1,1,1,4,NA
1021000710,1411.06799316406,1020007,1,1,102100071004,0,3,30,3,13,2,0,1,1,1,1,5,NA
1021000710,1411.06799316406,1020007,1,1,102100071005,0,3,25,3,13,2,0,1,1,1,1,4,NA
1021000710,1411.06799316406,1020007,1,1,102100071006,1,3,20,3,13,2,0,1,1,1,1,NA,NA
1021000710,1411.06799316406,1020007,1,1,102100071007,0,3,15,3,13,2,0,1,1,1,1,NA,10
1021000710,1411.06799316406,1020007,1,1,102100071008,1,5,28,3,13,2,0,1,1,1,1,1,NA
1021000710,1411.06799316406,1020007,1,1,102100071009,1,5,67,3,13,2,0,1,1,1,1,1,NA
1021000710,1411.06799316406,1020007,1,1,102100071010,0,4,11,3,13,2,0,1,1,1,1,NA,6
1021000710,1411.06799316406,1020007,1,1,102100071011,1,4,12,3,13,2,0,1,1,1,1,NA,6
1021000710,1411.06799316406,1020007,1,1,102100071012,0,5,27,3,13,2,0,2,2,2,1,1,NA
1021000710,1411.06799316406,1020007,1,1,102100071013,1,5,28,3,13,2,0,1,1,1,1,1,NA
1021000711,1409.08666992188,1020007,1,1,102100071101,1,1,36,1,6,4,1,1,1,1,1,3,NA
1021000711,1409.08666992188,1020007,1,1,102100071102,0,2,32,1,6,4,1,1,1,1,1,1,NA
1021000711,1409.08666992188,1020007,1,1,102100071103,1,3,14,3,6,4,1,1,1,1,1,NA,7
1021000711,1409.08666992188,1020007,1,1,102100071104,0,3,10,3,6,4,1,1,1,1,1,NA,4
1021000711,1409.08666992188,1020007,1,1,102100071105,1,3,5,NA,6,4,1,1,1,1,1,NA,0
1021000711,1409.08666992188,1020007,1,1,102100071106,1,3,0,NA,6,4,1,NA,NA,NA,NA,NA,NA
1021000805,2143.06176757813,1020008,1,1,102100080501,1,1,22,1,3,1,1,1,1,1,1,4,NA
1021000805,2143.06176757813,1020008,1,1,102100080502,0,2,18,1,3,1,1,1,1,1,1,1,NA
1021000805,2143.06176757813,1020008,1,1,102100080503,1,3,1,NA,3,1,1,NA,NA,NA,NA,NA,NA
1021000811,1003.32250976563,1020008,1,1,102100081101,1,1,33,1,5,3,1,1,1,1,1,1,NA
1021000811,1003.32250976563,1020008,1,1,102100081102,0,2,37,1,5,3,1,2,2,2,2,NA,NA
1021000811,1003.32250976563,1020008,1,1,102100081103,0,3,10,3,5,3,1,1,1,1,1,NA,3
1021000811,1003.32250976563,1020008,1,1,102100081104,1,3,9,NA,5,3,1,1,1,1,1,NA,1
1021000811,1003.32250976563,1020008,1,1,102100081105,0,3,2,NA,5,3,1,NA,NA,NA,NA,NA,NA
1021000906,906.749938964844,NA,1,1,102100090601,1,1,48,1,2,0,0,1,1,1,1,1,NA
1021000906,906.749938964844,NA,1,1,102100090602,0,2,46,1,2,0,0,1,1,1,1,2,NA
1021001003,831.695739746094,1020010,1,1,102100100301,1,1,64,1,9,6,0,1,1,1,1,2,NA
1021001003,831.695739746094,1020010,1,1,102100100302,1,4,15,3,9,6,0,1,1,1,1,NA,7
1021001003,831.695739746094,1020010,1,1,102100100303,0,3,14,3,9,6,0,1,1,1,1,NA,6
1021001003,831.695739746094,1020010,1,1,102100100304,1,3,12,3,9,6,0,1,1,1,1,NA,5
1021001003,831.695739746094,1020010,1,1,102100100305,0,3,10,3,9,6,0,1,1,1,1,NA,2
1021001003,831.695739746094,1020010,1,1,102100100306,0,3,8,NA,9,6,0,1,1,1,1,NA,1
1021001003,831.695739746094,1020010,1,1,102100100307,1,4,8,NA,9,6,0,1,1,1,2,NA,NA
1021001003,831.695739746094,1020010,1,1,102100100308,1,5,13,3,9,6,0,1,1,1,1,NA,0
1021001003,831.695739746094,1020010,1,1,102100100309,1,5,NA,NA,9,6,0,NA,NA,NA,NA,NA,NA
1021001004,2055.9501953125,1020010,1,1,102100100401,1,1,31,1,4,2,0,1,1,1,1,0,NA
1021001004,2055.9501953125,1020010,1,1,102100100402,0,2,30,1,4,2,0,2,2,2,1,1,NA
1021001004,2055.9501953125,1020010,1,1,102100100403,0,3,8,NA,4,2,0,1,1,1,1,NA,1
1021001004,2055.9501953125,1020010,1,1,102100100404,1,3,5,NA,4,2,0,2,2,2,1,NA,0
1021001007,1663.39147949219,1020010,1,1,102100100701,1,1,36,1,6,4,1,1,1,1,1,5,NA
1021001007,1663.39147949219,1020010,1,1,102100100702,0,2,28,1,6,4,1,1,1,1,1,1,NA
1021001007,1663.39147949219,1020010,1,1,102100100703,1,3,10,3,6,4,1,1,1,1,1,NA,2
1021001007,1663.39147949219,1020010,1,1,102100100704,1,3,9,NA,6,4,1,1,1,1,1,NA,3
1021001007,1663.39147949219,1020010,1,1,102100100705,0,3,6,NA,6,4,1,1,1,1,1,NA,0
1021001007,1663.39147949219,1020010,1,1,102100100706,0,3,1,NA,6,4,1,NA,NA,NA,NA,NA,NA
1021001011,3151.8427734375,1020010,1,1,102100101101,0,1,38,2,3,0,0,1,1,1,1,2,NA
1021001011,3151.8427734375,1020010,1,1,102100101102,0,3,17,3,3,0,0,1,1,1,1,NA,12
1021001011,3151.8427734375,1020010,1,1,102100101103,1,3,15,3,3,0,0,1,1,1,1,NA,6
1021001102,2959.87060546875,1020011,1,1,102100110201,0,1,20,3,1,0,0,1,1,1,1,3,NA
1021001105,1183.9482421875,1020011,1,1,102100110501,1,1,28,2,1,0,0,1,1,1,1,1,NA
1021001107,772.290710449219,1020011,1,1,102100110701,1,1,49,1,10,3,1,1,1,1,1,4,NA
1021001107,772.290710449219,1020011,1,1,102100110702,0,2,47,1,10,3,1,1,1,1,1,2,NA
1021001107,772.290710449219,1020011,1,1,102100110703,1,3,26,3,10,3,1,1,1,1,1,3,NA
1021001107,772.290710449219,1020011,1,1,102100110704,0,3,22,3,10,3,1,1,1,1,1,2,NA
1021001107,772.290710449219,1020011,1,1,102100110705,0,3,20,3,10,3,1,1,1,1,1,3,NA
1021001107,772.290710449219,1020011,1,1,102100110706,0,3,17,3,10,3,1,1,1,1,1,3,NA
1021001107,772.290710449219,1020011,1,1,102100110707,0,3,15,3,10,3,1,1,1,1,1,2,NA
1021001107,772.290710449219,1020011,1,1,102100110708,1,3,13,3,10,3,1,1,1,1,1,NA,7
1021001107,772.290710449219,1020011,1,1,102100110709,0,3,7,NA,10,3,1,2,2,2,1,NA,0
1021001107,772.290710449219,1020011,1,1,102100110710,0,4,3,NA,10,3,1,NA,NA,NA,NA,NA,NA
1021001109,881.315368652344,1020011,1,1,102100110901,0,1,40,1,12,4,0,1,1,1,1,NA,NA
1021001109,881.315368652344,1020011,1,1,102100110902,1,3,22,3,12,4,0,1,1,1,1,4,NA
1021001109,881.315368652344,1020011,1,1,102100110903,1,3,20,3,12,4,0,1,1,1,1,NA,13
1021001109,881.315368652344,1020011,1,1,102100110904,1,3,18,3,12,4,0,1,1,1,1,NA,11
1021001109,881.315368652344,1020011,1,1,102100110905,1,3,16,3,12,4,0,1,1,1,1,NA,7
1021001109,881.315368652344,1020011,1,1,102100110906,0,3,14,3,12,4,0,1,1,1,1,NA,5
1021001109,881.315368652344,1020011,1,1,102100110907,1,3,10,3,12,4,0,1,1,1,1,NA,2
1021001109,881.315368652344,1020011,1,1,102100110908,0,3,6,NA,12,4,0,2,2,2,1,NA,1
1021001109,881.315368652344,1020011,1,1,102100110909,1,5,26,3,12,4,0,1,1,1,1,4,NA
1021001109,881.315368652344,1020011,1,1,102100110910,0,5,12,3,12,4,0,1,1,1,1,NA,5
1021001109,881.315368652344,1020011,1,1,102100110911,0,5,60,2,12,4,0,2,2,2,2,NA,NA
1021001109,881.315368652344,1020011,1,1,102100110912,0,5,42,2,12,4,0,1,2,2,1,1,NA
1021001110,369.009063720703,1020011,1,1,102100111001,1,1,36,1,9,0,0,1,1,1,1,1,NA
1021001110,369.009063720703,1020011,1,1,102100111002,0,2,NA,NA,9,0,0,NA,NA,NA,NA,NA,NA
1021001110,369.009063720703,1020011,1,1,102100111003,0,3,NA,NA,9,0,0,NA,NA,NA,NA,NA,NA
1021001110,369.009063720703,1020011,1,1,102100111004,1,3,NA,NA,9,0,0,NA,NA,NA,NA,NA,NA
1021001110,369.009063720703,1020011,1,1,102100111005,0,3,NA,NA,9,0,0,NA,NA,NA,NA,NA,NA
1021001110,369.009063720703,1020011,1,1,102100111006,1,3,NA,NA,9,0,0,NA,NA,NA,NA,NA,NA
1021001110,369.009063720703,1020011,1,1,102100111007,1,5,NA,NA,9,0,0,NA,NA,NA,NA,NA,NA
1021001110,369.009063720703,1020011,1,1,102100111008,1,5,NA,NA,9,0,0,NA,NA,NA,NA,NA,NA
1021001110,369.009063720703,1020011,1,1,102100111009,1,5,NA,NA,9,0,0,NA,NA,NA,NA,NA,NA
1021001202,1163.376953125,NA,1,11,102100120201,0,1,42,2,4,1,1,1,1,1,1,1,NA
1021001202,1163.376953125,NA,1,11,102100120202,0,3,17,3,4,1,1,1,1,1,1,NA,12
1021001202,1163.376953125,NA,1,11,102100120203,0,5,20,3,4,1,1,1,1,1,1,NA,15
1021001202,1163.376953125,NA,1,11,102100120204,1,5,4,NA,4,1,1,NA,NA,NA,NA,NA,NA
1021001205,1163.376953125,1020012,1,1,102100120501,0,1,40,2,16,8,2,1,2,2,1,1,NA
1021001205,1163.376953125,1020012,1,1,102100120502,1,3,17,3,16,8,2,1,1,1,1,1,NA
1021001205,1163.376953125,1020012,1,1,102100120503,1,3,14,3,16,8,2,1,1,1,1,NA,4
1021001205,1163.376953125,1020012,1,1,102100120504,1,3,9,NA,16,8,2,2,2,2,1,NA,2
1021001205,1163.376953125,1020012,1,1,102100120505,1,5,8,NA,16,8,2,2,2,2,2,NA,NA
1021001205,1163.376953125,1020012,1,1,102100120506,0,5,8,NA,16,8,2,2,2,2,2,NA,NA
1021001205,1163.376953125,1020012,1,1,102100120507,0,5,7,NA,16,8,2,2,2,2,2,NA,NA
1021001205,1163.376953125,1020012,1,1,102100120508,0,5,23,3,16,8,2,1,1,1,1,2,NA
1021001205,1163.376953125,1020012,1,1,102100120509,1,5,19,3,16,8,2,1,1,1,1,2,NA
1021001205,1163.376953125,1020012,1,1,102100120510,1,5,4,NA,16,8,2,NA,NA,NA,NA,NA,NA
