id_hh,wgt09,comm,urban,regurb
1053001509,805.79248046875,1050015,0,10
1053001510,805.79248046875,1050015,0,10
1053001512,1678.11254882813,1050015,0,10
1053001513,2600.38061523438,1050015,0,10
1053001902,1182.19128417969,1050019,0,10
1053001903,1978.39404296875,1050019,0,10
1053001904,1118.45263671875,1050019,0,10
1053001905,1281.18041992188,1050019,0,10
1053001906,953.755187988281,1050019,0,10
1053001907,953.755187988281,1050019,0,10
1053001908,989.197021484375,1050019,0,10
1053001909,1907.51037597656,1050019,0,10
1053001910,989.197021484375,1050019,0,10
1053002301,922.823120117188,1050023,0,10
1053002302,686.981567382813,1050023,0,10
1053002303,1301.01867675781,1050023,0,10
1053002304,1425.02014160156,1050023,0,10
1053002306,1052.48059082031,1050023,0,10
1053002307,769.624938964844,1050023,0,10
1053002308,1373.96313476563,1050023,0,10
1053002309,1539.24987792969,1050023,0,10
1053002310,1613.48901367188,1050023,0,10
1053002602,1095.90185546875,1050026,0,10
1053002603,1981.00170898438,1050026,0,10
1053002605,1354.53369140625,1050026,0,10
1053002606,2511.60009765625,1050026,0,10
1053002607,1768.27905273438,1050026,0,10
1053002608,3801.65698242188,1050026,0,10
1053002609,1354.53369140625,1050026,0,10
1053002610,951.233093261719,1050026,0,10
1053003001,2058.3701171875,1050030,0,10
1053003002,1752.80053710938,1050030,0,10
1053003003,1752.80053710938,1050030,0,10
1053003004,981.830627441406,1050030,0,10
1053003005,2921.33422851563,1050030,0,10
1053003006,1027.73999023438,1050030,0,10
1053003008,942.906677246094,1050030,0,10
1053003009,1817.93542480469,1050030,0,10
1053003010,1817.93542480469,1050030,0,10
1053003301,3663.86157226563,1050033,0,10
1053003303,1047.75915527344,1050033,0,10
1053003304,966.80517578125,1050033,0,10
1053003305,2095.51831054688,1050033,0,10
1053003306,1933.6103515625,1050033,0,10
1053003307,2621.46118164063,1050033,0,10
1053003309,1831.93078613281,1050033,0,10
1053003310,1047.75915527344,1050033,0,10
1053003312,5242.92236328125,1050033,0,10
1063000301,839.275512695313,1060003,0,10
1063000302,1772.66259765625,1060003,0,10
1063000304,839.275512695313,1060003,0,10
1063000305,3357.10205078125,1060003,0,10
1063000307,1985.91259765625,1060003,0,10
1063000308,1838.53527832031,1060003,0,10
1063000310,839.275512695313,1060003,0,10
1063000311,992.956298828125,1060003,0,10
1063000502,654.800842285156,1060005,0,10
1063000503,1383.02746582031,1060005,0,10
1063000505,1309.60168457031,1060005,0,10
1063000506,2400.9365234375,1060005,0,10
1063000508,654.800842285156,1060005,0,10
1063000509,717.210571289063,1060005,0,10
1063000510,2750.16357421875,1060005,0,10
1063000511,654.800842285156,1060005,0,10
1063000701,1125.75476074219,1060007,0,10
1063000702,869.193176269531,1060007,0,10
1063000703,1038.7744140625,1060007,0,10
1063000704,1738.38635253906,1060007,0,10
1063000705,1283.92419433594,1060007,0,10
1063000707,1125.75476074219,1060007,0,10
1063000709,1283.92419433594,1060007,0,10
1063000710,1587.11669921875,1060007,0,10
1063000711,869.193176269531,1060007,0,10
1063000902,1104.08020019531,1060009,0,10
1063000903,1445.25024414063,1060009,0,10
1063000905,1254.46447753906,1060009,0,10
1063000907,1367.32861328125,1060009,0,10
1063000908,2612.49951171875,1060009,0,10
1063000909,2208.16040039063,1060009,0,10
1063000910,1786.32775878906,1060009,0,10
1063000912,2331.9658203125,1060009,0,10
1071000101,1581.89050292969,1070001,1,11
1071000102,1033.31982421875,1070001,1,11
1071000104,1584.11499023438,1070001,1,11
1071000106,2077.9375,1070001,1,11
1071000109,1033.31982421875,1070001,1,11
1071000110,906.022705078125,1070001,1,11
1071000111,836.019897460938,1070001,1,11
1071000201,877.56005859375,1070002,1,11
1071000205,1755.1201171875,1070002,1,11
1071000208,1011.02423095703,1070002,1,11
1071000209,1011.02423095703,1070002,1,11
1071000210,1095.68078613281,1070002,1,11
1073000801,256.744812011719,1070008,0,10
1073000803,400.473480224609,1070008,0,10
1073000807,256.744812011719,1070008,0,10
1073000808,313.630157470703,1070008,0,10
1073001202,5654.8173828125,1070012,0,10
1073001205,1492.17065429688,1070012,0,10
1073001206,2497.14379882813,1070012,0,10
1073001209,1203.8369140625,1070012,0,10
1073001210,4012.78955078125,1070012,0,10
1073001601,3247.103515625,1070016,0,10
1073001602,1382.53198242188,1070016,0,10
1073001603,1621.27209472656,1070016,0,10
1073001604,928.578369140625,1070016,0,10
1073001605,743.723327636719,1070016,0,10
1073001606,691.265991210938,1070016,0,10
1073001608,716.953735351563,1070016,0,10
1073001609,716.953735351563,1070016,0,10
1073001610,2073.79809570313,1070016,0,10
1073001611,774.424865722656,1070016,0,10
1073002002,2220.95166015625,1070020,0,10
1073002004,1279.36291503906,1070020,0,10
1073002005,2932.05834960938,1070020,0,10
1073002006,3162.58276367188,1070020,0,10
1073002007,2220.95166015625,1070020,0,10
1073002008,1070.50537109375,1070020,0,10
1073002010,1386.48840332031,1070020,0,10
1073002011,1386.48840332031,1070020,0,10
1073002302,2436.65112304688,1070023,0,10
1073002303,1116.19104003906,1070023,0,10
1073002304,1037.46240234375,1070023,0,10
1073002305,1037.46240234375,1070023,0,10
1073002306,1162.26843261719,1070023,0,10
1073002307,1393.62438964844,1070023,0,10
1073002308,1116.19104003906,1070023,0,10
1073002309,1216.61474609375,1070023,0,10
1081000201,1435.18603515625,1080002,1,11
1081000202,2845.16625976563,1080002,1,11
1081000203,503.935974121094,1080002,1,11
1081000206,1258.38220214844,1080002,1,11
1081000208,3288.35375976563,1080002,1,11
1081000209,717.593017578125,1080002,1,11
1081000211,549.275085449219,1080002,1,11
1081000301,528.115234375,1080003,1,11
1081000302,427.278015136719,1080003,1,11
1081000303,344.714599609375,1080003,1,11
1081000307,386.183532714844,1080003,1,11
1081000308,344.714599609375,1080003,1,11
1081000309,404.241027832031,1080003,1,11
1081000310,427.278015136719,1080003,1,11
1083000601,2133.41748046875,1080006,0,10
1083000603,1633.00512695313,1080006,0,10
1083000604,863.033630371094,1080006,0,10
1083000605,935.298461914063,1080006,0,10
1083000608,8077.8681640625,1080006,0,10
1083000609,1560.05847167969,1080006,0,10
1083000610,863.033630371094,1080006,0,10
1083000902,3124.29956054688,1080009,0,10
1083000903,921.078430175781,1080009,0,10
1083000904,921.078430175781,1080009,0,10
1083000906,2763.2353515625,1080009,0,10
1083000907,955.469604492188,1080009,0,10
