id_hh,id_ind,ind_sex,ind_position,ind_age,ind_marital_status,n_ind_household,n_child_15,n_child_5
1021001107,102100110703,1,3,26,3,10,3,1
1021001107,102100110704,0,3,22,3,10,3,1
1021001107,102100110705,0,3,20,3,10,3,1
1021001107,102100110706,0,3,17,3,10,3,1
1021001107,102100110707,0,3,15,3,10,3,1
1021001107,102100110708,1,3,13,3,10,3,1
1021001107,102100110709,0,3,7,NA,10,3,1
1021001107,102100110710,0,4,3,NA,10,3,1
1021001109,102100110901,0,1,40,1,12,4,0
102100110901,1021001109010,1,1,42,1,8,3,2
102100110901,10210011090102,0,2,30,1,8,3,2
102100110901,10210011090103,1,3,3,NA,8,3,2
102100110901,10210011090104,1,3,1,NA,8,3,2
102100110901,10210011090105,1,3,10,3,8,3,2
102100110901,10210011090106,0,5,17,3,8,3,2
102100110901,10210011090107,1,5,39,3,8,3,2
102100110901,10210011090108,1,5,25,3,8,3,2
1021001109,102100110902,1,3,22,3,12,4,0
1021001109,102100110903,1,3,20,3,12,4,0
102100110903,1021001109030,0,2,23,1,3,1,1
102100110903,10210011090301,1,1,25,1,3,1,1
102100110903,10210011090303,0,3,1,NA,3,1,1
1021001109,102100110904,1,3,18,3,12,4,0
102100110904,1021001109040,1,1,21,1,3,1,1
102100110904,10210011090402,0,2,18,1,3,1,1
102100110904,10210011090403,0,3,0,NA,3,1,1
1021001109,102100110905,1,3,16,3,12,4,0
1021001109,102100110906,0,3,14,3,12,4,0
1021001109,102100110907,1,3,10,3,12,4,0
1021001109,102100110908,0,3,6,NA,12,4,0
1021001109,102100110909,1,5,26,3,12,4,0
1021001109,102100110910,0,5,12,3,12,4,0
1021001109,102100110911,0,5,60,2,12,4,0
1021001109,102100110912,0,5,42,2,12,4,0
1021001110,102100111001,1,1,36,1,9,0,0
1021001110,102100111002,0,2,NA,NA,9,0,0
1021001110,102100111003,0,3,NA,NA,9,0,0
1021001110,102100111004,1,3,NA,NA,9,0,0
1021001110,102100111005,0,3,NA,NA,9,0,0
1021001110,102100111006,1,3,NA,NA,9,0,0
1021001110,102100111007,1,5,NA,NA,9,0,0
1021001110,102100111008,1,5,NA,NA,9,0,0
1021001110,102100111009,1,5,NA,NA,9,0,0
1021001202,102100120201,0,1,42,2,4,1,1
1021001202,102100120202,0,3,17,3,4,1,1
1021001202,102100120203,0,5,20,3,4,1,1
1021001202,102100120204,1,5,4,NA,4,1,1
1021001205,102100120501,0,1,40,2,16,8,2
1021001205,102100120502,1,3,17,3,16,8,2
1021001205,102100120503,1,3,14,3,16,8,2
1021001205,102100120504,1,3,9,NA,16,8,2
1021001205,102100120505,1,5,8,NA,16,8,2
1021001205,102100120506,0,5,8,NA,16,8,2
1021001205,102100120507,0,5,7,NA,16,8,2
1021001205,102100120508,0,5,23,3,16,8,2
1021001205,102100120509,1,5,19,3,16,8,2
1021001205,102100120510,1,5,4,NA,16,8,2
1021001205,102100120511,0,5,16,3,16,8,2
