case_id,ea_id,wgt10,urban,regionXurban,total_consumption_annual,total_consumption_weekly
1021001810,1020018,1378.92504882813,1,11,185143.14541375134,3550.690265431381
1021001902,1020019,2458.62841796875,1,11,317409.1298775221,6087.298047662175
1021001907,1020019,431.452209472656,1,11,671434.187706562,12876.819332628897
1021001908,1020019,858.003601074219,1,11,368929.6270418882,7075.36232270129
1021001910,1020019,582.716857910156,1,11,329773.2757469091,6324.4186403835365
1021002008,1020020,1506.1298828125,1,11,386376.7951653746,7409.965528652909
1021002010,1020020,1297.91149902344,1,11,303742.42217569466,5825.1968184271955
1021002011,1020020,1602.62902832031,1,11,388463.49626984075,7449.984451751223
1021002013,1020020,1703.61254882813,1,11,497287.5249580168,9537.020504015638
1021002103,1020021,1530.54907226563,1,11,331025.6731812298,6348.437219999628
